Account,Closed PnL,classification,timestamp_dt,date,Side,Size USD
trader_15,-253.4377506016279,Neutral,2025-04-07,2025-01-29,SELL,16040.339031008358
trader_19,146.1963734446341,Fear,2024-12-08,2025-03-19,SELL,1404.4907609599181
trader_16,48.10598643695877,Fear,2025-01-12,2025-01-25,SELL,5742.792727457783
trader_19,-8.091317689465846,Neutral,2024-12-24,2024-12-18,SELL,9708.205574496244
trader_19,70.52579015776762,Greed,2025-03-27,2025-04-02,SELL,18693.89625752377
trader_17,42.8285296635216,Fear,2025-03-12,2025-03-14,BUY,1717.9941697338456
trader_29,154.78586237968673,Greed,2025-02-03,2025-04-28,SELL,4120.0517018389255
trader_25,19.82294080919279,Fear,2024-12-26,2025-04-19,BUY,12678.207222227355
trader_25,-24.181876669763923,Greed,2025-02-12,2024-12-06,BUY,13227.643542092936
trader_6,82.39593137265119,Greed,2025-02-04,2025-03-08,SELL,3697.6412779140314
trader_25,169.00510301411833,Fear,2024-12-14,2025-02-09,BUY,18991.855717993836
trader_25,35.37730041023982,Neutral,2025-04-08,2025-04-06,BUY,3948.291545862992
trader_1,42.6616560684253,Fear,2025-03-04,2025-01-30,BUY,4055.7028999730496
trader_19,244.12778302856987,Greed,2025-01-06,2025-03-28,SELL,12893.178713217127
trader_15,56.92171674352224,Neutral,2024-12-18,2025-02-06,BUY,8718.541640268682
trader_3,-169.04787141340358,Fear,2025-03-23,2025-01-30,BUY,1007.2273429828593
trader_17,61.84175906020371,Greed,2024-12-30,2025-03-26,SELL,18449.922994327873
trader_6,51.135104098354546,Greed,2025-03-10,2025-03-22,BUY,1965.2662385975154
trader_4,88.5398871495166,Greed,2024-12-21,2024-12-17,BUY,3548.1866789428477
trader_8,84.56280332530733,Fear,2025-04-23,2025-02-05,BUY,17993.528161362727
trader_22,52.35574403429678,Neutral,2024-12-18,2025-01-28,BUY,5868.578633933086
trader_4,99.11514253186787,Greed,2025-04-28,2024-12-03,BUY,16444.739658216124
trader_21,-131.30937118333821,Greed,2024-12-10,2025-03-20,SELL,3828.9297876421347
trader_28,389.19647715882195,Fear,2025-03-15,2025-03-13,SELL,1439.5919206478698
trader_2,60.80600390518119,Fear,2024-12-04,2024-12-01,SELL,5077.248738786294
trader_10,-110.24822364740498,Greed,2024-12-15,2025-02-17,SELL,14969.308740072922
